"","AMOXICILLINCLAVULANATE","AMOXICILLINM","AZITHROMYCIN","CEFIXIME","CEFPROZIL","CEFUROXIME","CHLOROQUINE","CIPROFLOXACIN","CLARITHROMYCIN","CLINDAMYCIN","CLOTRIMAZOLE","DOXYCYCLINEMONOHYDRATE","ETHAMBUTOL","FLUCONAZOLE","FUSIDIC ACID","HYDROXYCHLOROQUINE","LEVOFLOXACIN","METRONIDAZOLE","MICONAZOLE","MUPIROCIN","SODIUM FUSIDATE","TOBRAMYCIN"
"Jan",0.894001643385374,1,0.921739130434783,1,0.678571428571429,1,1,0.886666666666667,0.818181818181818,1,1,1,0.674418604651163,1,1,1,1,0.983539094650206,1,0.90728476821192,0.818627450980392,0.61878453038674
"Feb",0.919474116680361,0.905109489051095,0.95072463768116,0.704761904761905,0.848214285714286,0.872093023255814,0.900990099009901,0.826666666666667,1,0.917948717948718,0.814469078179697,0.895522388059702,0.813953488372093,0.815533980582524,0.979020979020979,0.903846153846154,0.874493927125506,1,0.890855457227139,0.52317880794702,0.818627450980392,1
"Mar",0.624486442070666,0.474452554744526,0.788405797101449,0.619047619047619,1,0.649501661129568,0.603960396039604,0.683333333333333,0.503496503496504,0.569230769230769,0.467911318553092,0.567164179104478,0,0.640776699029126,0.641608391608392,0.605769230769231,0.40080971659919,0.621399176954732,0.610619469026549,0.28476821192053,0.558823529411765,0.773480662983425
"Apr",0.118323746918652,0.0948905109489051,0.150724637681159,0.228571428571429,0.107142857142857,0.0830564784053156,0.138613861386139,0.113333333333333,0,0.123076923076923,0.17269544924154,0.194029850746269,0.162790697674419,0.233009708737864,0.20979020979021,0.163461538461538,0,0.1440329218107,0.079646017699115,0.105960264900662,0.00980392156862745,0.0939226519337017
"May",0.142974527526705,0.175182481751825,0.150724637681159,0.161904761904762,0.348214285714286,0.111295681063123,0.118811881188119,0.213333333333333,0.104895104895105,0.133333333333333,0.0945157526254376,0.208955223880597,0.697674418604651,0.213592233009709,0.0961538461538462,0.134615384615385,0.0647773279352227,0.037037037037037,0.188790560471976,0.19205298013245,0,0.193370165745856
"Jun",0,0,0.0869565217391304,0,0,0,0,0,0,0,0,0.0149253731343284,0.348837209302326,0,0,0,0.0242914979757085,0,0,0,0.132352941176471,0.0441988950276243
"Jul",0.0928512736236647,0.197080291970803,0,0.133333333333333,0.0178571428571429,0.136212624584718,0.217821782178218,0.0766666666666667,0.0909090909090909,0.292307692307692,0.256709451575263,0.0746268656716418,0.627906976744186,0.349514563106796,0.262237762237762,0.211538461538462,0.153846153846154,0.312757201646091,0.300884955752212,0.28476821192053,0.245098039215686,0
"Aug",0.244864420706656,0.416058394160584,0.150724637681159,0.523809523809524,0.0178571428571429,0.315614617940199,0.138613861386139,0.256666666666667,0.048951048951049,0.405128205128205,0.3512252042007,0,0.604651162790698,0.29126213592233,0.293706293706294,0.153846153846154,0.311740890688259,0.366255144032922,0.31858407079646,0.589403973509934,0.367647058823529,0.198895027624309
"Sep",0.550534100246508,0.708029197080292,0.457971014492754,0.704761904761905,0.392857142857143,0.503322259136213,0.702970297029703,0.596666666666667,0.272727272727273,0.497435897435897,0.551925320886814,0.641791044776119,0.372093023255814,0.572815533980582,0.562937062937063,0.711538461538462,0.603238866396761,0.613168724279835,0.651917404129793,0.609271523178808,0.754901960784314,0.209944751381215
"Oct",0.886606409202958,0.846715328467153,0.863768115942029,0.685714285714286,0.803571428571429,0.634551495016611,0.633663366336634,0.903333333333333,0.594405594405594,0.912820512820513,0.887981330221704,0.611940298507463,0.465116279069767,0.786407766990291,0.821678321678322,0.625,0.712550607287449,0.720164609053498,0.858407079646018,1,0.799019607843137,0.425414364640884
"Nov",0.884963023829088,0.744525547445255,1,0.59047619047619,0.625,0.666112956810631,0.871287128712871,0.983333333333333,0.916083916083916,0.784615384615385,0.763127187864644,0.805970149253731,0.837209302325581,0.640776699029126,0.723776223776224,0.875,0.781376518218624,0.674897119341564,0.713864306784661,0.900662251655629,0.82843137254902,0.441988950276243
"Dec",1,0.773722627737226,0.930434782608696,0.695238095238095,0.705357142857143,0.785714285714286,0.801980198019802,1,0.916083916083916,0.815384615384615,0.771295215869312,0.880597014925373,1,0.893203883495146,0.912587412587413,0.788461538461538,0.898785425101215,0.893004115226337,0.699115044247788,0.556291390728477,1,0.795580110497238
